name,desc,group,type,minwidth
name,Name,General,none,175
gaul_code,GAUL code,General,none,90
areasqkm,Total area (km2),General,number,140
areatsqkm,Targeted area (km2),General,number,140
totpop,Total population,General,number,160
tarpop,Target population,General,number,160
totdeng,Mean dengue incidence,General,number,140
tardeng,Mean dengue incidence in target area,General,number,140
tot_cases,Total number of cases of dengue (without intervention),Pre-Intervention,number,175
tot_dalys,Total number of DALYs (without intervention),Pre-Intervention,number,175
tot_hosp,Total number of hospitalized cases (without intervention),Pre-Intervention,number,175
tot_amb,Total number of ambulatory cases (without intervention),Pre-Intervention,number,175
tot_nonmed,Total number of non-medically treated cases (without intervention),Pre-Intervention,number,175
area_cov_int,Area covered by intervention,Intervention,number,160
pop_cov_int,Population covered by intervention,Intervention,number,175
tot_cost_int,Total cost of intervention,Intervention,currency,175
cost_per_person,Cost per person,Intervention,currency,150
cases_avert,Cases averted,Health Benefits,number,160
dalys_avert,DALYs averted,Health Benefits,number,160
hosp_avert,Hospitalized cases averted,Health Benefits,number,160
amb_avert,Ambulatory cases averted,Health Benefits,number,160
nonmed_avert,Non-medically treated cases averted,Health Benefits,number,160
cost_per_case,Cost per case averted,Economic Benefits,currency,140
cost_per_daly,Cost per daly averted,Economic Benefits,currency,140
direct_hosp_cost,Direct hospitalized costs averted,Economic Benefits,currency,175
direct_amb_cost,Direct ambulatory costs averted,Economic Benefits,currency,175
direct_nonmed_cost,Direct non-medical costs averted,Economic Benefits,currency,175
indirect_hosp_cost,Indirect hospitalized costs averted,Economic Benefits,currency,175
indirect_amb_cost,Indirect ambulatory costs averted,Economic Benefits,currency,175
indirect_nonmed_cost,Indirect non-medical costs averted,Economic Benefits,currency,175
